,eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
0,80.61500000000001,-3.04,911.0,0.00013444283000000002,0.0,2.70792,-0.00044132316499999997,0.8124362549999999,0.004488945007324219,1.0,256.0,18.241001425485592,16384
1,83.07,-2.755,1079.0,0.00064407558,0.0,2.7064867,-0.0010640826,0.15683764500000003,0.056721776723861694,2.0,512.0,33.42017803597264,32768
2,79.47999999999999,-2.865,1061.5,0.0017945494,0.008107503,2.6981185,-0.00147644375,0.1513351,0.1678869128227234,3.0,768.0,48.8512080089713,49152
3,81.2,-2.335,1063.0,0.0030317227000000004,0.013519287,2.68772415,-0.0026460022499999996,0.1260504275,0.31977882981300354,4.0,1024.0,64.2655421444797,65536
4,76.70500000000001,-1.98,1074.5,0.0026525782999999997,0.01779174875,2.680987,-0.00310080995,0.094193125,0.46537619829177856,5.0,1280.0,79.50795477599604,81920
5,80.18,-1.835,1082.5,0.00401678535,0.0341186525,2.6665796000000004,-0.0052069457999999996,0.0891217,0.5362787544727325,6.0,1536.0,94.64273223897908,98304
6,79.03,-1.265,1083.0,0.004271274,0.0422159825,2.65621925,-0.006158517799999999,0.08068619700000002,0.6265040338039398,7.0,1792.0,109.76524833549047,114688
7,75.305,-1.07,1078.5,0.00440825915,0.04486084,2.6525364000000002,-0.00764331565,0.07418796,0.6276726573705673,8.0,2048.0,124.95329207446774,131072
8,76.15,-0.485,1074.5,0.0048632995,0.0534973145,2.64330695,-0.007717473999999999,0.0638309815,0.6646148860454559,9.0,2304.0,140.19852824145346,147456
9,78.185,-0.645,1073.0,0.00534595315,0.0595906575,2.64057135,-0.008612123999999999,0.0559431685,0.7292120307683945,10.0,2560.0,155.46141930497834,163840
10,78.39,-0.475,1073.0,0.005302249849999999,0.0590311685,2.6223433500000004,-0.009417075,0.055135947500000004,0.7234223186969757,11.0,2816.0,170.72300664597424,180224
11,75.85499999999999,-0.38,1076.5,0.005253727,0.062408449500000004,2.61940265,-0.009465567000000001,0.0617085275,0.7099948078393936,12.0,3072.0,185.93802087649237,196608
12,74.465,-0.185,1079.0,0.0068969358,0.090565998,2.6107181000000006,-0.0093928645,0.061820308500000004,0.696188323199749,13.0,3328.0,201.11541039450094,212992
13,78.0,0.27,1078.0,0.006705058,0.0859375,2.60995425,-0.011365147,0.0529219655,0.6335964798927307,14.0,3584.0,216.31401603698032,229376
14,78.35,0.10499999999999998,1077.0,0.00744867315,0.096079505,2.60646795,-0.012931551999999999,0.0516463055,0.6798671633005142,15.0,3840.0,231.5253015490016,245760
15,74.705,-0.0049999999999999906,1075.5,0.00850959275,0.11330159249999999,2.5881137499999998,-0.01330658225,0.056988513000000005,0.6805418431758881,16.0,4096.0,246.75484336848604,262144
16,78.5,0.17000000000000004,1076.0,0.008492875,0.109476723,2.5926754,-0.01410143825,0.0563265235,0.6697874218225479,17.0,4352.0,261.97505159897264,278528
17,81.50999999999999,0.355,1075.0,0.008841815999999999,0.1195271825,2.5807056499999996,-0.013938071500000001,0.05346401,0.6812389343976974,18.0,4608.0,277.21458451947547,294912
18,81.36,0.7450000000000001,1075.0,0.009549994249999999,0.13192749,2.5748129,-0.014018956499999999,0.044992835,0.6598625630140305,19.0,4864.0,292.4503130409867,311296
19,81.1,0.65,1074.5,0.010315355,0.14048258,2.5550499,-0.014346629999999999,0.0500183185,0.7011432945728302,20.0,5120.0,307.69176785546006,327680
20,80.535,0.72,1074.5,0.011309832,0.149393715,2.5517781499999996,-0.015368416,0.04702276750000001,0.7270485535264015,21.0,5376.0,322.9347599579778,344064
21,77.65,1.1,1073.5,0.012160234,0.159596755,2.54074645,-0.016223190499999998,0.04172078,0.7361266165971756,22.0,5632.0,338.19028730446007,360448
22,79.035,1.145,1076.5,0.013459319,0.17174276,2.5309738500000005,-0.014829078000000002,0.042203773,0.7250783294439316,23.0,5888.0,353.4085405684891,376832
23,76.63,1.385,1077.5,0.013663388,0.177469885,2.53474035,-0.0157617335,0.0388587195,0.7554264441132545,24.0,6144.0,368.6045704994758,393216
24,88.155,1.56,1075.0,0.0140961035,0.17103068999999999,2.5216446,-0.01381530625,0.0376631355,0.78362225741148,25.0,6400.0,383.8391527424683,409600
25,83.33500000000001,1.52,1075.5,0.014870004,0.180969235,2.5069934,-0.0152071875,0.045398926000000006,0.7550957873463631,26.0,6656.0,399.06672012098716,425984
26,84.805,1.7149999999999999,1076.5,0.015236554,0.193471275,2.48696185,-0.0153366915,0.032440805,0.8174635618925095,27.0,6912.0,414.28065979649546,442368
27,88.3,1.665,1076.5,0.014399702,0.18000285500000002,2.48310115,-0.015433757,0.0453148035,0.7683702036738396,28.0,7168.0,429.49113084498094,458752
28,86.525,1.79,1076.5,0.017110931000000003,0.209086105,2.4862764,-0.0145079815,0.038972944999999995,0.8218161165714264,29.0,7424.0,444.7034909204813,475136
29,89.7,1.9,1074.0,0.01399567175,0.177948,2.47741115,-0.0157937945,0.0473533255,0.7886921614408493,30.0,7680.0,459.9536208874779,491520
30,94.44,1.685,1075.5,0.015558465,0.190958655,2.4622775499999996,-0.015603483,0.05553374,0.7580871060490608,31.0,7936.0,475.18275954699493,507904
31,102.93,2.125,1074.5,0.014799096500000001,0.189442955,2.4678918,-0.01658113,0.0784804465,0.6977431550621986,32.0,8192.0,490.4221384989796,524288
