eplenmean,eprewmean,fps,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
166.6,1.6,2341,0.4388240575790405,1,256,3.4983567019808106,8192
349.6756756756757,21.864864,6654,0.3825361728668213,2,512,4.7301413849927485,16384
335.2040816326531,19.979591,6525,0.3060053586959839,3,768,5.98610488398117,24576
348.3378378378378,21.256756,6436,0.4704137444496155,4,1024,7.2592431439843494,32768
365.49,22.94,6495,0.5333513617515564,5,1280,8.520990419987356,40960
372.77,23.76,6506,0.4308363199234009,6,1536,9.78053988100146,49152
376.89,23.24,6486,0.4386695623397827,7,1792,11.044230431987671,57344
380.55,23.63,6470,0.5384235680103302,8,2048,12.311003338982118,65536
382.81,23.65,6417,0.4126893877983093,9,2304,13.588087593991077,73728
379.56,22.99,6441,0.45258617401123047,10,2560,14.860420686978614,81920
381.79,23.6,6470,0.4981011748313904,11,2816,16.126914677995956,90112
379.78,23.71,6394,0.509375661611557,12,3072,17.40858065598877,98304
372.74,22.86,6391,0.47935813665390015,13,3328,18.69070525999996,106496
376.74,24.02,6367,0.5543875694274902,14,3584,19.97762393800076,114688
383.36,24.67,6367,0.6269954442977905,15,3840,21.264618702989537,122880
387.93,25.09,6374,0.5237739384174347,16,4096,22.550137723999796,131072
384.26,25.18,6421,0.40037715435028076,17,4352,23.826355314988177,139264
389.63,24.91,6403,0.4239298701286316,18,4608,25.106115926988423,147456
386.92,24.64,6392,0.5051015317440033,19,4864,26.38810032699257,155648
383.14,23.97,6408,0.5361095368862152,20,5120,27.66691040797741,163840
384.94,24.11,6436,0.413268506526947,21,5376,28.940143222978804,172032
381.56,23.86,6407,0.4186643958091736,22,5632,30.2190963489993,180224
387.12,24.73,6389,0.6170467734336853,23,5888,31.50181786599569,188416
387.19,25.13,6421,0.47879481315612793,24,6144,32.778066595987184,196608
390.16,25.0,6430,0.5373021066188812,25,6400,34.052551681990735,204800
391.1,24.45,6429,0.4516559839248657,26,6656,35.32722928997828,212992
398.36,24.62,6395,0.3262350559234619,27,6912,36.60857985599432,221184
387.31,24.13,6415,0.4596267342567444,28,7168,37.88605299498886,229376
387.42,24.31,6384,0.4719994068145752,29,7424,39.1697079789883,237568
377.42,24.07,6370,0.5172468423843384,30,7680,40.45609762499225,245760
385.83,25.44,6363,0.6653555929660797,31,7936,41.744072354980744,253952
382.47,25.31,6334,0.4026120901107788,32,8192,43.037868825980695,262144
388.19,25.41,6378,0.5258363485336304,33,8448,44.32274095399771,270336
397.12,26.74,6358,0.6354836225509644,34,8704,45.61159798299195,278528
397.03,26.41,6380,0.41625380516052246,35,8960,46.896138960990356,286720
389.8,25.81,6391,0.38710105419158936,36,9216,48.178363660001196,294912
394.59,26.34,6391,0.548725038766861,37,9472,49.46072228398407,303104
390.62,25.44,6368,0.4920048117637634,38,9728,50.74765830099932,311296
392.01,25.19,6362,0.4610327482223511,39,9984,52.03571241299505,319488
393.46,24.96,6455,0.5606699287891388,40,10240,53.30534926199471,327680
401.95,25.47,6440,0.45893293619155884,41,10496,54.577841232996434,335872
403.0,25.29,6451,0.5379882156848907,42,10752,55.84813910597586,344064
403.64,25.12,6428,0.49104470014572144,43,11008,57.123003580985824,352256
396.09,24.92,6386,0.5242090821266174,44,11264,58.40642956699594,360448
393.03,25.24,6489,0.49139952659606934,45,11520,59.66927641700022,368640
392.12,24.47,6468,0.4872239828109741,46,11776,60.93614680497558,376832
389.37,25.01,6459,0.5214222073554993,47,12032,62.20499441199354,385024
388.94,24.9,6467,0.545255184173584,48,12288,63.472139753983356,393216
391.03,24.51,6420,0.43926119804382324,49,12544,64.74846899000113,401408
384.93,23.65,6458,0.37780946493148804,50,12800,66.01740289499867,409600
384.88,24.49,6449,0.5944399535655975,51,13056,67.28819651197409,417792
384.08,24.24,6432,0.553826242685318,52,13312,68.56228478398407,425984
383.48,24.53,6485,0.49863696098327637,53,13568,69.82596845598891,434176
385.89,24.39,6483,0.438651978969574,54,13824,71.09018007398117,442368
390.95,25.14,6483,0.426261842250824,55,14080,72.35419094900135,450560
386.91,23.69,6493,0.3289034366607666,56,14336,73.61630248298752,458752
387.1,23.25,6487,0.5324608385562897,57,14592,74.87964464499964,466944
383.04,22.07,6473,0.2958917021751404,58,14848,76.1457812509907,475136
380.87,22.52,6505,0.4940374493598938,59,15104,77.40557560499292,483328
385.7,23.13,6466,0.5274567306041718,60,15360,78.67290661999141,491520
386.08,23.73,6496,0.4895647168159485,61,15616,79.93457385399961,499712
