eplenmean,eprewmean,fps,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
137.75,3.25,2262,0.35377299785614014,1,256,3.6214453789871186,8192
334.3783783783784,20.594595,6162,0.4948294162750244,2,512,4.951413732997025,16384
341.7111111111111,21.2,6169,0.36184775829315186,3,768,6.279849650993128,24576
364.35616438356163,23.739725,6157,0.461902916431427,4,1024,7.610795442000381,32768
376.13,24.93,6157,0.5548766255378723,5,1280,8.941820606996771,40960
383.52,25.76,6192,0.4839931130409241,6,1536,10.265331943999627,49152
386.43,25.25,6143,0.4967319369316101,7,1792,11.599290406986256,57344
379.44,24.16,6179,0.42490220069885254,8,2048,12.925497711999924,65536
368.47,22.62,6156,0.37321752309799194,9,2304,14.256889113996294,73728
366.89,21.84,6148,0.39100754261016846,10,2560,15.589777827990474,81920
361.02,21.48,6115,0.4351242780685425,11,2816,16.929847014995175,90112
367.98,22.18,6169,0.634121835231781,12,3072,18.258375877994695,98304
366.82,22.56,6199,0.403716504573822,13,3328,19.580235822999384,106496
378.23,23.34,6205,0.32537907361984253,14,3584,20.90084923199902,114688
384.23,24.13,6182,0.4457079768180847,15,3840,22.22652584599564,122880
383.93,24.08,6185,0.40364664793014526,16,4096,23.551449561986374,131072
375.53,22.93,6203,0.45320063829421997,17,4352,24.8725509079959,139264
378.55,23.26,6297,0.4440557360649109,18,4608,26.173984393986757,147456
379.85,23.43,6384,0.45932137966156006,19,4864,27.45771164499456,155648
386.17,23.78,6340,0.5467991530895233,20,5120,28.750324244989315,163840
372.13,22.76,6169,0.40877485275268555,21,5376,30.078552473991294,172032
380.53,23.98,6150,0.6087822318077087,22,5632,31.4109787849884,180224
386.77,25.0,6125,0.41158348321914673,23,5888,32.74875120499928,188416
390.0,25.1,6139,0.5448727011680603,24,6144,34.083559528997284,196608
388.87,25.24,6155,0.44283759593963623,25,6400,35.41507504499168,204800
384.96,24.54,6126,0.49111074209213257,26,6656,36.7528514519945,212992
381.58,23.96,6167,0.4300464987754822,27,6912,38.08160239999415,221184
386.08,25.2,6176,0.6333042681217194,28,7168,39.40848869399633,229376
382.85,24.55,6165,0.3118137717247009,29,7424,40.73763457698806,237568
387.31,25.29,6116,0.486583411693573,30,7680,42.077719106993754,245760
391.82,25.74,6155,0.5893179476261139,31,7936,43.40917246999743,253952
384.18,24.64,6149,0.4346954822540283,32,8192,44.74193810099678,262144
389.65,24.98,6155,0.5912106335163116,33,8448,46.07348015900061,270336
391.86,25.82,6169,0.5954521596431732,34,8704,47.40177059099369,278528
387.57,25.87,6164,0.5286215543746948,35,8960,48.73116710699105,286720
386.63,25.17,6169,0.41712045669555664,36,9216,50.059607145987684,294912
390.95,25.51,6150,0.5450569093227386,37,9472,51.39219881698955,303104
386.98,24.74,6267,0.4077969789505005,38,9728,52.699763175987755,311296
388.4,23.85,6237,0.46243155002593994,39,9984,54.01356742299686,319488
387.2,23.67,6102,0.45306074619293213,40,10240,55.356378699987545,327680
393.77,25.11,6133,0.5214892327785492,41,10496,56.69247357999848,335872
376.96,23.61,6168,0.394952654838562,42,10752,58.02095035999082,344064
375.89,24.36,6176,0.34369462728500366,43,11008,59.347863492992474,352256
383.16,25.67,6162,0.5472851693630219,44,11264,60.677818046999164,360448
386.01,26.07,6149,0.4679526686668396,45,11520,62.0104696819908,368640
386.85,25.59,6172,0.5007602870464325,46,11776,63.33827425498748,376832
391.23,25.81,6193,0.42609697580337524,47,12032,64.6613456060004,385024
392.52,25.49,6176,0.5169387459754944,48,12288,65.98818405499333,393216
389.1,24.72,6139,0.5010342001914978,49,12544,67.32309287499811,401408
382.67,23.93,6145,0.4511384963989258,50,12800,68.65654954899219,409600
391.39,24.57,6170,0.4343918561935425,51,13056,69.98459718599042,417792
386.27,24.68,6098,0.49568814039230347,52,13312,71.3284631610004,425984
382.97,24.34,6182,0.44927364587783813,53,13568,72.65408290199412,434176
389.74,25.21,6164,0.48857396841049194,54,13824,73.98365906799154,442368
384.69,24.47,6182,0.38135838508605957,55,14080,75.30911591199401,450560
384.31,24.7,6106,0.5387225151062012,56,14336,76.6512006099947,458752
391.14,25.27,6128,0.5833427608013153,57,14592,77.98863689298742,466944
394.54,25.55,6104,0.5351539552211761,58,14848,79.33131903198955,475136
394.7,26.04,6272,0.6314069032669067,59,15104,80.63791114698688,483328
397.66,26.26,6311,0.4348481297492981,60,15360,81.93636939198768,491520
398.06,25.94,6348,0.49837660789489746,61,15616,83.22719015799521,499712
