,test_results,train_iters
0,19.95758558196721,5.0
1,17.817779824590158,10.0
2,21.43401601639344,15.0
3,23.914446081967224,20.0
4,23.215200042622946,25.0
5,24.719623131147536,30.0
6,24.720512098360654,35.0
7,23.0600783114754,40.0
8,25.731815983606555,45.0
9,23.617479278688528,50.0
