eplenmean,eprewmean,fps,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
211.0,3.75,2378,0.34865063428878784,1,256,3.4437699869740754,8192
337.4864864864865,19.081081,6695,0.32372981309890747,2,512,4.667843232979067,16384
339.82978723404256,19.446808,6703,0.5486983358860016,3,768,5.890551301999949,24576
349.92,20.426666,6637,0.4142831563949585,4,1024,7.125232039950788,32768
355.98,20.92,6627,0.3544434905052185,5,1280,8.361817806959152,40960
368.43,22.72,6626,0.5732147693634033,6,1536,9.598815611971077,49152
373.7,23.11,6572,0.4350054860115051,7,1792,10.845865007955581,57344
355.19,21.45,6628,0.3770126700401306,8,2048,12.082291033002548,65536
373.52,22.38,6595,0.48778802156448364,9,2304,13.325056414993014,73728
359.72,20.93,6607,0.43802785873413086,10,2560,14.565389131952543,81920
358.96,21.24,6618,0.485984206199646,11,2816,15.803564706991892,90112
361.45,22.0,6622,0.5500050187110901,12,3072,17.041026578983292,98304
367.16,23.32,6556,0.47609883546829224,13,3328,18.291163173969835,106496
369.6,23.34,6604,0.44231754541397095,14,3584,19.532197449996602,114688
371.61,23.89,6587,0.3702363967895508,15,3840,20.776379864953924,122880
369.02,22.79,6545,0.4414317011833191,16,4096,22.028612989990506,131072
384.68,24.11,6602,0.40795284509658813,17,4352,23.269812060985714,139264
381.03,22.84,6596,0.4676147699356079,18,4608,24.51217826496577,147456
369.75,21.68,6591,0.43689489364624023,19,4864,25.755477964994498,155648
356.38,20.71,6505,0.3132578134536743,20,5120,27.015319455997087,163840
351.69,20.62,6564,0.3885425329208374,21,5376,28.263844261004124,172032
343.38,20.53,6551,0.4571889042854309,22,5632,29.514687610964756,180224
350.57,21.64,6543,0.32542848587036133,23,5888,30.767173832980916,188416
354.99,21.97,6525,0.4231407642364502,24,6144,32.023120419995394,196608
361.76,23.13,6564,0.3503694534301758,25,6400,33.27174874499906,204800
364.16,23.72,6582,0.36430221796035767,26,6656,34.51694465300534,212992
354.2,22.37,6481,0.3383254408836365,27,6912,35.78128684597323,221184
359.3,23.45,6490,0.5028500854969025,28,7168,37.04389455995988,229376
352.87,23.18,6597,0.3836013674736023,29,7424,38.2861070119543,237568
366.03,23.68,6546,0.4653112292289734,30,7680,39.53795285098022,245760
375.61,24.16,6517,0.4481070637702942,31,7936,40.7953549149679,253952
379.35,24.2,6524,0.40109729766845703,32,8192,42.05162497499259,262144
374.52,23.63,6512,0.4537978172302246,33,8448,43.31011972099077,270336
375.94,23.56,6499,0.5244908928871155,34,8704,44.57102042098995,278528
354.28,21.67,6518,0.3835657835006714,35,8960,45.82841307396302,286720
348.49,20.92,6531,0.2906187176704407,36,9216,47.08333735296037,294912
339.06,19.91,6522,0.3588554263114929,37,9472,48.339917642006185,303104
337.09,19.31,6571,0.4297616481781006,38,9728,49.58711823297199,311296
333.13,19.26,6502,0.40483731031417847,39,9984,50.847492942004465,319488
353.31,21.08,6394,0.5675702691078186,40,10240,52.12904885195894,327680
351.32,20.82,6586,0.45453310012817383,41,10496,53.373356904950924,335872
354.29,21.37,6620,0.3843178153038025,42,10752,54.61115118395537,344064
360.15,22.28,6559,0.4984341263771057,43,11008,55.86068516195519,352256
371.5,23.06,6579,0.6011196374893188,44,11264,57.106554189987946,360448
381.98,24.12,6601,0.45991241931915283,45,11520,58.3482140689739,368640
385.17,24.39,6622,0.3920901417732239,46,11776,59.58567647496238,376832
385.69,24.1,6586,0.42201822996139526,47,12032,60.830069571966305,385024
381.22,23.79,6606,0.4886663556098938,48,12288,62.07070485595614,393216
374.37,23.51,6583,0.4410477876663208,49,12544,63.315499741001986,401408
371.53,23.2,6572,0.4307249188423157,50,12800,64.56233782297932,409600
371.25,22.92,6589,0.4400021433830261,51,13056,65.8060047919862,417792
372.12,23.24,6617,0.31824469566345215,52,13312,67.04453031398589,425984
376.52,23.54,6627,0.3725275993347168,53,13568,68.28117623197613,434176
367.95,23.0,6625,0.4525942802429199,54,13824,69.51809635595419,442368
367.0,23.51,6607,0.4772765636444092,55,14080,70.75851886998862,450560
354.46,23.36,6584,0.26115524768829346,56,14336,72.00325906299986,458752
351.75,22.75,6570,0.43843549489974976,57,14592,73.25059779599542,466944
360.54,23.3,6630,0.4337003231048584,58,14848,74.48670475097606,475136
356.66,22.56,6594,0.33517444133758545,59,15104,75.72949883295223,483328
371.09,23.98,6570,0.474539577960968,60,15360,76.97691639699042,491520
352.45,22.03,6592,0.3345118761062622,61,15616,78.22018971096259,499712
