eplenmean,eprewmean,fps,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
196.0,6.5,2255,0.429793119430542,1,256,3.631901981003466,8192
313.7,18.25,6539,0.4063824415206909,2,512,4.8851883099996485,16384
303.0925925925926,16.592592,6512,0.4284580945968628,3,768,6.143519017001381,24576
325.0833333333333,19.238094,6474,0.3653396964073181,4,1024,7.409323436993873,32768
345.43,21.34,6481,0.29240792989730835,5,1280,8.6736988969933,40960
320.57,18.97,6480,0.28901880979537964,6,1536,9.938382994994754,49152
354.2,21.29,6506,0.43357324600219727,7,1792,11.198107963995426,57344
352.21,21.12,6467,0.3704459071159363,8,2048,12.465227299006074,65536
361.13,21.84,6472,0.3924495577812195,9,2304,13.731522592002875,73728
358.04,21.71,6452,0.40517616271972656,10,2560,15.001767295005266,81920
352.91,21.84,6435,0.3793218731880188,11,2816,16.27510010599508,90112
350.61,22.08,6390,0.3274061679840088,12,3072,17.557544884999515,98304
354.8,22.35,6429,0.4238132834434509,13,3328,18.832294665000518,106496
355.24,22.07,6345,0.37851738929748535,14,3584,20.123868042996037,114688
355.59,21.6,6338,0.39452171325683594,15,3840,21.416768579001655,122880
341.24,19.64,6362,0.3562648296356201,16,4096,22.7050103090005,131072
346.5,19.6,6348,0.47617340087890625,17,4352,23.99588082700211,139264
336.55,19.02,6416,0.3494919538497925,18,4608,25.273226353994687,147456
337.61,19.38,6421,0.40936940908432007,19,4864,26.54968095899676,155648
345.38,19.53,6409,0.3103196620941162,20,5120,27.828264048992423,163840
336.71,19.37,6414,0.29791688919067383,21,5376,29.10595891700359,172032
346.56,19.17,6280,0.4559980034828186,22,5632,30.410914677006076,180224
362.14,20.05,6292,0.40108007192611694,23,5888,31.71333218899963,188416
367.18,20.9,6395,0.3971571922302246,24,6144,32.9947470449988,196608
373.09,21.28,6384,0.39964985847473145,25,6400,34.278566250999575,204800
372.78,21.97,6454,0.48716819286346436,26,6656,35.54849890200421,212992
371.63,22.57,6386,0.3647974133491516,27,6912,36.83186279400252,221184
353.27,21.49,6469,0.3641093373298645,28,7168,38.098601135003264,229376
355.49,22.09,6406,0.4991756081581116,29,7424,39.37779285899887,237568
352.79,21.64,6419,0.37136149406433105,30,7680,40.654409912996925,245760
343.19,20.42,6364,0.2619782090187073,31,7936,41.94210576500336,253952
348.11,20.58,6390,0.45730090141296387,32,8192,43.2245512590016,262144
360.43,21.19,6397,0.43890517950057983,33,8448,44.50575621399912,270336
360.07,21.35,6375,0.4181564450263977,34,8704,45.79118146200199,278528
359.4,21.44,6392,0.34295588731765747,35,8960,47.07333454799664,286720
358.43,20.8,6369,0.4049966335296631,36,9216,48.36018562200479,294912
359.09,20.94,6399,0.23199564218521118,37,9472,49.64092398999492,303104
368.0,21.25,6308,0.44818246364593506,38,9728,50.94006738299504,311296
367.61,20.39,6300,0.3981102705001831,39,9984,52.2408013940003,319488
367.3,20.42,6367,0.4294528365135193,40,10240,53.527881500995136,327680
374.19,21.71,6393,0.37011539936065674,41,10496,54.809756547998404,335872
366.79,21.48,6356,0.3331049084663391,42,10752,56.09915201799595,344064
368.5,21.91,6273,0.4363493323326111,43,11008,57.40552170199226,352256
363.01,21.29,6261,0.33399879932403564,44,11264,58.71436288800032,360448
352.36,20.07,6445,0.4208865761756897,45,11520,59.98583140100527,368640
351.31,20.17,6426,0.2691164016723633,46,11776,61.2611154079932,376832
349.64,19.78,6459,0.429054319858551,47,12032,62.52998848799325,385024
345.65,19.19,6408,0.3490310311317444,48,12288,63.80871977099741,393216
353.03,19.94,6459,0.32598161697387695,49,12544,65.07749715200043,401408
353.55,20.21,6380,0.39385831356048584,50,12800,66.36184807799873,409600
371.27,21.98,6330,0.5171675980091095,51,13056,67.65643728199939,417792
366.35,22.07,6309,0.38137567043304443,52,13312,68.95535690999532,425984
370.7,22.54,6382,0.2917139530181885,53,13568,70.23944674800441,434176
367.19,22.31,6468,0.2660004496574402,54,13824,71.50658245899831,442368
362.37,22.44,6353,0.3586495518684387,55,14080,72.79643657599809,450560
360.25,21.8,6271,0.3572659492492676,56,14336,74.10314479299996,458752
354.0,21.09,6299,0.35724014043807983,57,14592,75.40411615600169,466944
364.68,22.54,6227,0.4054638147354126,58,14848,76.72002557599626,475136
351.64,20.76,6270,0.29200810194015503,59,15104,78.02690977099701,483328
344.7,19.98,6366,0.29445284605026245,60,15360,79.3142372680013,491520
355.2,20.97,6446,0.5254790186882019,61,15616,80.58567509800196,499712
