eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps,eplenmean,eprewmean
119.22,3.26,2157,0.01409671,0.17006429,2.3762658,-0.017533518,0.06666543,0.811842442,44,11264,326.3836247,720896,119.22,3.26
122.21,3.45,2237,0.015994629,0.19085693,2.356876,-0.015976148,0.06872893,0.822078228,45,11520,333.7057205,737280,122.21,3.45
120.31,3.2,2157,0.014239877,0.1817627,2.3431742,-0.017364955,0.06470578,0.847044498,46,11776,341.2997984,753664,120.31,3.2
147.01,3.62,2233,0.013738182,0.17789714,2.3396673,-0.017276375,0.07182846,0.825713664,47,12032,348.6370631,770048,147.01,3.62
150.91,4,2281,0.014718038,0.18269856,2.3569267,-0.013516742,0.098206095,0.784836814,48,12288,355.8189098,786432,150.91,4
154.45,4.37,2226,0.012975612,0.16265869,2.3294837,-0.00846115,0.14315842,0.790377915,49,12544,363.1774163,802816,154.45,4.37
143.25,4.16,2202,0.014971695,0.18774414,2.339846,-0.015290913,0.082717724,0.865582466,50,12800,370.6171561,819200,143.25,4.16
148.07,4.01,2210,0.012709935,0.16438802,2.302033,-0.011486703,0.11292389,0.847003549,51,13056,378.0282129,835584,148.07,4.01
153.99,5.86,2258,0.012638461,0.15539551,2.3166115,-0.010397447,0.14874782,0.813783213,52,13312,385.2840876,851968,153.99,5.86
153.46,5.8,2253,0.014597525,0.18367513,2.3263338,-0.0134194,0.13842389,0.818243697,53,13568,392.5550571,868352,153.46,5.8
158.02,5.43,2263,0.013135578,0.16581218,2.3080523,-0.01223696,0.14503704,0.847025543,54,13824,399.7956184,884736,158.02,5.43
151.6,5.25,2163,0.013625275,0.17362468,2.295419,-0.017741444,0.08133431,0.901316233,55,14080,407.3693727,901120,151.6,5.25
177.56,5.67,2200,0.014311957,0.18560791,2.2918835,-0.016955422,0.086449414,0.887711041,56,14336,414.8153333,917504,177.56,5.67
174.43,5.22,2177,0.015786542,0.19441731,2.288431,-0.015053007,0.14837815,0.846786723,57,14592,422.3388733,933888,174.43,5.22
156.19,5.46,2265,0.014887128,0.18141682,2.2852402,-0.019476214,0.13065206,0.861118034,58,14848,429.5736181,950272,156.19,5.46
169.13,4.72,2176,0.015256892,0.18817139,2.2760458,-0.019515976,0.09841972,0.908508986,59,15104,437.1013955,966656,169.13,4.72
181.6,6.28,2153,0.011879952,0.15340169,2.2593057,-0.014191614,0.11480364,0.888926163,60,15360,444.7104871,983040,181.6,6.28
162.91,6.27,2236,0.013953294,0.17580159,2.2780545,-0.018428462,0.12657133,0.900781415,61,15616,452.0377742,999424,162.91,6.27
167.93,5.99,2263,0.014890247,0.1872762,2.2704086,-0.017022127,0.12305033,0.915544532,62,15872,459.2772949,1015808,167.93,5.99
195.28,7.8,2152,0.011439648,0.14801025,2.2384865,-0.014611852,0.15697716,0.912885524,63,16128,466.8907251,1032192,195.28,7.8
