,eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
0,84.16499999999999,-3.025,1186.5,0.0002023185,0.0,2.7078477,-0.000656123475,0.42379575999999997,-0.018359839916229248,1.0,256.0,13.8034454574954,16384
1,80.055,-1.9500000000000002,1846.5,0.00027243947,0.00040690103,2.706623,-0.000614943285,0.14442106999999998,0.051142722368240356,2.0,512.0,22.695595396507997,32768
2,80.18,-2.6449999999999996,1829.0,0.00176877245,0.0061645507,2.70001405,-0.0015875029999999999,0.14480172,0.11042362451553345,3.0,768.0,31.653507145500043,49152
3,80.68,-2.1950000000000003,1803.5,0.0029291396999999997,0.0160725915,2.6825427,-0.0022134771,0.13002765,0.22598671913146973,4.0,1024.0,40.73665367602371,65536
4,75.11500000000001,-2.01,1798.5,0.0034335714,0.018188476500000002,2.6698248499999995,-0.00280458245,0.12189265799999999,0.29161760210990906,5.0,1280.0,49.84543844101427,81920
5,77.375,-1.73,1797.5,0.0023589751500000004,0.00800577825,2.66085125,-0.0025181654,0.10707806249999999,0.4219224750995636,6.0,1536.0,58.96839029149851,98304
6,73.725,-1.415,1795.0,0.0025898606,0.0146179205,2.6456413000000003,-0.0032391876000000003,0.09552816,0.5357121974229813,7.0,1792.0,68.09603835349844,114688
7,75.125,-1.5,1812.0,0.00440466615,0.036112468999999994,2.6372341,-0.00589421335,0.07988131,0.616184338927269,8.0,2048.0,77.13575826049782,131072
8,75.15,-0.955,1819.5,0.00478186345,0.0492146795,2.6252793,-0.006051833999999999,0.065088365,0.6377477049827576,9.0,2304.0,86.13897137049935,147456
9,74.78,-1.05,1813.0,0.0045233886,0.043843586500000004,2.63062965,-0.0065708142,0.060905363500000004,0.7039250880479813,10.0,2560.0,95.17374781052058,163840
10,74.03,-1.01,1826.5,0.00505619,0.0525919585,2.6172415,-0.00791157325,0.064317955,0.7018001526594162,11.0,2816.0,104.15131696649769,180224
11,76.89,-0.14,1823.5,0.00504201715,0.056162514999999996,2.6185963999999995,-0.0084226105,0.0456503355,0.763070598244667,12.0,3072.0,113.1349998844962,196608
12,73.495,-0.11,1819.5,0.005234393699999999,0.060089111,2.61138635,-0.0096221985,0.054263294000000004,0.7105882912874222,13.0,3328.0,122.13788178699906,212992
13,75.11,0.0,1804.5,0.005194719,0.060506185000000004,2.6079832,-0.0092793475,0.05719065,0.7054760903120041,14.0,3584.0,131.2149935849884,229376
14,78.62,-0.14500000000000002,1813.5,0.00572741075,0.065785725,2.59217655,-0.0099284535,0.0522328315,0.7725808247923851,15.0,3840.0,140.24796558149683,245760
15,80.93,0.04,1813.5,0.0057069081,0.0689697275,2.5984385000000003,-0.011286034,0.05252282,0.7541864886879921,16.0,4096.0,149.28930530551588,262144
16,76.875,-0.115,1815.5,0.0069703343,0.08731079,2.5852798000000003,-0.01116321,0.0564777235,0.7596693709492683,17.0,4352.0,158.31435234099627,278528
17,80.25,0.125,1813.0,0.0076637244,0.099426268,2.5824821,-0.0115072895,0.06502532,0.6970411390066147,18.0,4608.0,167.34802588100138,294912
18,82.38499999999999,0.42000000000000004,1812.5,0.0078417695,0.10425822,2.575029,-0.013725895,0.0505756755,0.7385650649666786,19.0,4864.0,176.38698154651502,311296
19,78.065,0.3,1821.0,0.008056848,0.1036783825,2.57139825,-0.0130598605,0.050955721499999995,0.7479306235909462,20.0,5120.0,185.3826176335133,327680
20,80.255,0.6,1823.5,0.009954227999999999,0.12944539500000002,2.5754060999999995,-0.010929729,0.0515053035,0.742475651204586,21.0,5376.0,194.37381300902052,344064
21,77.325,0.585,1824.5,0.0082783685,0.106903075,2.56427565,-0.012955576,0.056133611,0.7426605075597763,22.0,5632.0,203.35106422950045,360448
22,82.61500000000001,0.6599999999999999,1826.5,0.008863734,0.1128540025,2.5620797,-0.01445699475,0.049724727999999996,0.7339331209659576,23.0,5888.0,212.3194621385046,376832
23,80.765,0.71,1822.5,0.0097899485,0.130086265,2.5511795,-0.0152016045,0.0499633525,0.8035800755023956,24.0,6144.0,221.30799093699892,393216
24,83.235,0.685,1823.0,0.009404089000000001,0.12439982,2.5532561499999997,-0.013689025,0.05249425049999999,0.7425540015101433,25.0,6400.0,230.29349290949176,409600
25,80.95,0.495,1818.5,0.00937749275,0.11981201,2.5417135,-0.014774016,0.0573008305,0.7229213789105415,26.0,6656.0,239.31108199049774,425984
26,81.27,0.9949999999999999,1818.0,0.00939228575,0.1232605,2.5307519,-0.01407807225,0.040146432999999995,0.7948845401406288,27.0,6912.0,248.321182644504,442368
27,79.745,0.905,1815.5,0.010567588499999999,0.14137777,2.51323105,-0.015676586,0.04054614,0.8093829602003098,28.0,7168.0,257.343107779001,458752
28,81.27000000000001,0.6950000000000001,1820.5,0.01017745225,0.13498942,2.5104400499999997,-0.015482476000000002,0.05820813700000001,0.7776811793446541,29.0,7424.0,266.34234807601024,475136
29,82.505,1.095,1821.5,0.011988221,0.154022215,2.5019108,-0.016294966,0.050683466499999996,0.7758933901786804,30.0,7680.0,275.3354742450174,491520
30,86.63499999999999,1.1400000000000001,1823.5,0.011961385000000001,0.155049645,2.49756615,-0.015083554999999998,0.039149135,0.8282124102115631,31.0,7936.0,284.32650636050676,507904
31,88.44,1.4449999999999998,1824.0,0.009741329,0.127634685,2.50909755,-0.014632446,0.050422761499999996,0.778638444840908,32.0,8192.0,293.3082212265145,524288
