eplenmean,eprewmean,fps,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
133.1818181818182,2.3636363,2329,0.37992531061172485,1,256,3.5160967529955087,8192
319.8421052631579,19.868422,6520,0.48536306619644165,2,512,4.773158026000601,16384
311.7843137254902,18.37255,6575,0.4042246341705322,3,768,6.0194154960045125,24576
340.7012987012987,19.987013,6484,0.46056413650512695,4,1024,7.283172101000673,32768
366.96,22.25,6515,0.38314908742904663,5,1280,8.540913574004662,40960
374.68,23.59,6501,0.4765334725379944,6,1536,9.801427853002679,49152
373.07,22.63,6462,0.4524680972099304,7,1792,11.069610403996194,57344
366.86,22.26,6462,0.49768078327178955,8,2048,12.337759600006393,65536
367.11,22.71,6492,0.4433057904243469,9,2304,13.599976676996448,73728
372.92,22.81,6492,0.5115265846252441,10,2560,14.862274999002693,81920
366.96,22.35,6443,0.3899168372154236,11,2816,16.13419540799805,90112
372.55,22.53,6320,0.4998127818107605,12,3072,17.43078208899533,98304
379.62,22.73,6285,0.422698974609375,13,3328,18.734532122995006,106496
374.25,22.48,6278,0.4306516647338867,14,3584,20.03985523400479,114688
375.13,22.63,6201,0.4297742247581482,15,3840,21.361404284994933,122880
371.73,23.02,6381,0.31999266147613525,16,4096,22.645570223001414,131072
373.1,23.19,6432,0.5490171015262604,17,4352,23.91962590700132,139264
372.25,23.01,6457,0.46138638257980347,18,4608,25.188787652004976,147456
370.26,22.83,6440,0.33706289529800415,19,4864,26.461446543005877,155648
376.83,22.85,6419,0.4263956546783447,20,5120,27.73802398800035,163840
374.46,22.7,6475,0.40951651334762573,21,5376,29.003757697006222,172032
369.99,22.41,6403,0.2983124256134033,22,5632,30.283583800992346,180224
369.13,22.45,6416,0.3547521233558655,23,5888,31.560858773998916,188416
364.99,21.84,6453,0.46518611907958984,24,6144,32.83093629300129,196608
359.42,20.64,6443,0.43313372135162354,25,6400,34.10301284199522,204800
361.62,20.68,6470,0.4738388657569885,26,6656,35.36960852700577,212992
373.03,21.95,6480,0.4693617820739746,27,6912,36.63425760899554,221184
369.23,21.68,6403,0.38127344846725464,28,7168,37.91407608300506,229376
375.68,21.7,6424,0.4694545865058899,29,7424,39.18970397299563,237568
384.59,23.14,6304,0.5223819315433502,30,7680,40.48980016600399,245760
370.5,21.77,6349,0.4401928186416626,31,7936,41.78070122000645,253952
368.27,22.31,6445,0.5409097075462341,32,8192,43.05233577999752,262144
368.66,22.64,6437,0.40201735496520996,33,8448,44.325542435995885,270336
369.95,22.97,6376,0.45771491527557373,34,8704,45.610717892996036,278528
374.56,23.47,6310,0.45870137214660645,35,8960,46.90939652400266,286720
380.26,23.69,6403,0.41136056184768677,36,9216,48.18912819000252,294912
375.75,22.86,6444,0.4597799777984619,37,9472,49.4609431400022,303104
370.12,22.95,6445,0.3662971258163452,38,9728,50.732329717997345,311296
350.38,21.36,6416,0.38889074325561523,39,9984,52.00955208900268,319488
351.12,21.77,6444,0.5087056756019592,40,10240,53.28113108800608,327680
360.75,22.7,6410,0.49218833446502686,41,10496,54.55959003799944,335872
365.37,22.74,6405,0.3927649259567261,42,10752,55.83911258200533,344064
360.94,22.53,6440,0.4390453100204468,43,11008,57.11162504600361,352256
371.79,23.05,6420,0.3687857985496521,44,11264,58.38800039800117,360448
365.87,21.63,6467,0.3713918924331665,45,11520,59.65518367299228,368640
369.37,22.18,6454,0.4914819598197937,46,11776,60.92494468099903,376832
372.24,21.96,6461,0.40900152921676636,47,12032,62.19325510899944,385024
370.72,22.02,6457,0.4272112250328064,48,12288,63.462445748999016,393216
379.64,23.08,6417,0.47952800989151,49,12544,64.73941477500193,401408
385.66,23.76,6457,0.4808504581451416,50,12800,66.00857506800094,409600
382.51,23.45,6465,0.4394683837890625,51,13056,67.27625101199374,417792
383.16,23.98,6473,0.37142807245254517,52,13312,68.5422670590051,425984
376.19,23.09,6475,0.37333303689956665,53,13568,69.80778454999381,434176
367.34,22.5,6492,0.4398878812789917,54,13824,71.07009970399668,442368
353.9,20.81,6460,0.3945315480232239,55,14080,72.3386146450066,450560
346.06,20.3,6450,0.3463001847267151,56,14336,73.6091538079927,458752
356.49,21.52,6449,0.5740591585636139,57,14592,74.87983330000134,466944
360.25,21.23,6444,0.37638604640960693,58,14848,76.15140008200251,475136
365.89,22.07,6441,0.2767149806022644,59,15104,77.42371609300608,483328
366.45,22.54,6456,0.47629839181900024,60,15360,78.69311255500361,491520
349.73,21.35,6452,0.38294345140457153,61,15616,79.96330391500669,499712
