eplenmean,eprewmean,fps,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
136.4,3.1,2286,0.36143189668655396,1,256,3.583255307021318,8192
318.02564102564105,20.358974,6364,0.4348658323287964,2,512,4.871131596999476,16384
319.66,20.18,6565,0.37965887784957886,3,768,6.119360159005737,24576
337.39506172839504,21.135803,6364,0.411496102809906,4,1024,7.406970603013178,32768
352.55,22.29,6596,0.435382604598999,5,1280,8.649326042010216,40960
353.87,22.72,6427,0.4669705033302307,6,1536,9.924340438999934,49152
360.92,23.12,6535,0.472415030002594,7,1792,11.178385014005471,57344
359.91,23.46,6342,0.4655284881591797,8,2048,12.470429139008047,65536
364.22,24.09,6546,0.3922879695892334,9,2304,13.722382416017354,73728
371.52,23.95,6366,0.5454801619052887,10,2560,15.009698940004455,81920
359.66,22.92,6564,0.32313668727874756,11,2816,16.2582864210126,90112
357.58,22.38,6344,0.45423710346221924,12,3072,17.549909894994926,98304
357.17,22.56,6559,0.4611678123474121,13,3328,18.799182848015334,106496
354.4,23.3,6360,0.5700570642948151,14,3584,20.087591208022786,114688
352.0,24.02,6601,0.43836885690689087,15,3840,21.329185659997165,122880
354.15,24.12,6405,0.496301531791687,16,4096,22.60849109099945,131072
363.76,24.67,6597,0.5568784177303314,17,4352,23.850728007004363,139264
367.78,23.76,6439,0.43030768632888794,18,4608,25.123433964006836,147456
366.05,23.04,6631,0.4729253053665161,19,4864,26.359265519015025,155648
364.45,22.78,6411,0.4711650013923645,20,5120,27.637605841009645,163840
370.94,23.96,6602,0.6172226071357727,21,5376,28.87892528899829,172032
370.5,23.41,6358,0.45347875356674194,22,5632,30.167812040017452,180224
377.19,24.92,6535,0.5521262586116791,23,5888,31.421735076000914,188416
369.96,23.54,6400,0.4648151993751526,24,6144,32.702138210006524,196608
369.02,23.87,6550,0.5060180723667145,25,6400,33.95324476301903,204800
363.96,23.37,6408,0.4631512761116028,26,6656,35.23198249700363,212992
357.81,22.47,6575,0.37382519245147705,27,6912,36.478236574999755,221184
365.14,23.33,6398,0.5757220387458801,28,7168,37.75906692299759,229376
373.75,24.54,6570,0.5345721244812012,29,7424,39.00636755101732,237568
368.0,23.91,6409,0.46916627883911133,30,7680,40.28503162000561,245760
370.54,24.49,6551,0.4700920581817627,31,7936,41.53591472702101,253952
367.26,23.96,6421,0.4971219301223755,32,8192,42.8120680450229,262144
368.71,23.63,6563,0.43770235776901245,33,8448,44.06074303900823,270336
371.79,23.26,6439,0.5219876170158386,34,8704,45.33338925099815,278528
370.55,23.39,6524,0.46365708112716675,35,8960,46.5894676290045,286720
374.02,23.93,6405,0.4252431392669678,36,9216,47.86904725400382,294912
367.64,24.48,6558,0.5188694596290588,37,9472,49.118502240016824,303104
371.54,25.59,6378,0.4653626084327698,38,9728,50.403493631019956,311296
371.92,25.34,6566,0.5263104140758514,39,9984,51.65145299301366,319488
375.03,25.38,6395,0.522302895784378,40,10240,52.93291324801976,327680
368.71,23.77,6553,0.42027223110198975,41,10496,54.18353585401201,335872
374.07,24.07,6321,0.5660960972309113,42,10752,55.47994904400548,344064
370.49,23.53,6502,0.4153119921684265,43,11008,56.7403561109968,352256
372.72,24.25,6395,0.47527801990509033,44,11264,58.02168236800935,360448
365.17,23.47,6565,0.4506188631057739,45,11520,59.270039138995344,368640
373.95,24.58,6384,0.44487643241882324,46,11776,60.55356149401632,376832
370.45,24.04,6543,0.4946110248565674,47,12032,61.80603259100462,385024
375.04,24.32,6341,0.5366675555706024,48,12288,63.098469748016214,393216
383.18,25.16,6472,0.6040799915790558,49,12544,64.36469436102198,401408
388.62,25.6,6353,0.4644487500190735,50,12800,65.65462046899484,409600
370.83,24.11,6528,0.4690711498260498,51,13056,66.9098162750015,417792
359.3,22.5,6360,0.44258761405944824,52,13312,68.19830038701184,425984
358.59,22.11,6491,0.48782879114151,53,13568,69.46080577699468,434176
357.69,21.87,6369,0.5655557215213776,54,13824,70.74744531701435,442368
351.84,21.02,6576,0.35054314136505127,55,14080,71.99358800699702,450560
361.9,22.43,6332,0.5174713730812073,56,14336,73.28786061401479,458752
357.83,22.08,6538,0.46385592222213745,57,14592,74.54137132799951,466944
342.78,21.65,6407,0.4093068242073059,58,14848,75.8203200190037,475136
351.85,22.51,6578,0.46563881635665894,59,15104,77.06609236099757,483328
346.94,22.35,6408,0.4080770015716553,60,15360,78.34491529600928,491520
350.34,22.52,6584,0.4566617012023926,61,15616,79.58968293000362,499712
