eplenmean,eprewmean,fps,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
157.6,4.0,2356,0.43456244468688965,1,256,3.475878726982046,8192
347.7567567567568,20.135136,6584,0.44310063123703003,2,512,4.720634026976768,16384
327.59183673469386,18.22449,6608,0.4042232632637024,3,768,5.9606918809586205,24576
338.2435897435897,19.794872,6602,0.3632470965385437,4,1024,7.201975818956271,32768
358.02,20.87,6597,0.4111628532409668,5,1280,8.444162208004855,40960
331.4,18.48,6548,0.40121525526046753,6,1536,9.6959209269844,49152
346.74,19.9,6539,0.4098140001296997,7,1792,10.9490639489959,57344
343.91,19.97,6600,0.546982616186142,8,2048,12.190782246994786,65536
357.34,20.85,6573,0.4259986877441406,9,2304,13.437445541960187,73728
362.9,21.25,6558,0.35821086168289185,10,2560,14.686954423959833,81920
365.43,21.44,6552,0.35253703594207764,11,2816,15.937804133980535,90112
362.03,20.37,6588,0.44358426332473755,12,3072,17.181643911986612,98304
355.62,19.52,6519,0.47667139768600464,13,3328,18.43869999499293,106496
351.93,19.4,6545,0.42496955394744873,14,3584,19.69082359498134,114688
352.16,19.98,6563,0.4687935709953308,15,3840,20.939571523980703,122880
362.12,21.52,6548,0.35732537508010864,16,4096,22.19109161000233,131072
361.43,21.72,6561,0.5569634437561035,17,4352,23.440148781985044,139264
372.85,22.71,6567,0.46438318490982056,18,4608,24.688227069971617,147456
366.63,21.55,6518,0.3453899621963501,19,4864,25.945427200000267,155648
362.28,20.65,6476,0.4554036855697632,20,5120,27.21112946199719,163840
356.61,20.32,6476,0.3895356059074402,21,5376,28.47654256800888,172032
338.52,18.7,6347,0.3955574035644531,22,5632,29.767683704965748,180224
338.73,19.17,6392,0.43253475427627563,23,5888,31.04972294595791,188416
348.32,20.35,6363,0.3417263627052307,24,6144,32.33770711498801,196608
347.57,20.29,6351,0.4507873058319092,25,6400,33.62808644300094,204800
355.78,20.76,6519,0.3734884262084961,26,6656,34.88541274599265,212992
353.79,20.67,6531,0.39420539140701294,27,6912,36.14022066898178,221184
341.25,19.99,6448,0.34326624870300293,28,7168,37.411230787984096,229376
344.6,20.03,6488,0.42998701333999634,29,7424,38.67439075600123,237568
343.15,19.92,6496,0.4034442901611328,30,7680,39.93598888599081,245760
352.96,20.23,6565,0.4906994104385376,31,7936,41.18417750799563,253952
358.89,20.68,6530,0.4479703903198242,32,8192,42.439140414993744,262144
368.7,22.3,6533,0.4776129126548767,33,8448,43.69350018899422,270336
361.64,21.71,6541,0.4737602472305298,34,8704,44.9464463039767,278528
366.15,22.4,6561,0.4526790380477905,35,8960,46.19558931898791,286720
355.5,20.91,6571,0.3716740012168884,36,9216,47.44275192799978,294912
345.73,19.43,6590,0.3101242184638977,37,9472,48.68624116299907,303104
347.28,19.18,6577,0.4617079496383667,38,9728,49.93236631801119,311296
344.96,18.96,6612,0.3925802707672119,39,9984,51.17171166895423,319488
358.1,20.51,6585,0.3566555976867676,40,10240,52.41612187999999,327680
361.53,20.55,6582,0.4192941188812256,41,10496,53.66102141700685,335872
363.33,21.68,6585,0.47850245237350464,42,10752,54.90549276897218,344064
357.55,20.94,6578,0.476995050907135,43,11008,56.151336874987464,352256
346.22,20.22,6591,0.37121814489364624,44,11264,57.39456261496525,360448
335.22,20.83,6547,0.3390989303588867,45,11520,58.64627060201019,368640
318.93,19.01,6617,0.34686392545700073,46,11776,59.88481406797655,376832
322.81,18.49,6617,0.38846415281295776,47,12032,61.123226756986696,385024
338.55,19.33,6598,0.42900311946868896,48,12288,62.36537163995672,393216
344.67,18.85,6589,0.36458784341812134,49,12544,63.6092161439592,401408
363.62,20.25,6612,0.3971409797668457,50,12800,64.8487327019684,409600
353.43,20.19,6566,0.33168184757232666,51,13056,66.09693375200732,417792
336.32,18.82,6595,0.4483379125595093,52,13312,67.33945979096461,425984
342.21,19.38,6583,0.3995670676231384,53,13568,68.58429368998623,434176
348.36,19.81,6618,0.40515631437301636,54,13824,69.82251724397065,442368
351.6,19.72,6623,0.4348815679550171,55,14080,71.06000177696114,450560
372.03,21.88,6512,0.5436674058437347,56,14336,72.3184912459692,458752
365.64,21.15,6313,0.3683396577835083,57,14592,73.61665782396449,466944
365.16,21.52,6298,0.47697991132736206,58,14848,74.9177733399556,475136
346.75,19.96,6359,0.3461219072341919,59,15104,76.20653359999415,483328
333.06,18.89,6389,0.31916946172714233,60,15360,77.48904641100671,491520
345.23,20.42,6362,0.3123839497566223,61,15616,78.77717379195383,499712
