eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
81.45,-2.53,802,0.00014624071,0.0,2.7079144,-0.00047390093,0.77018005,-0.0013006925582885742,1,256,20.42076690297108,16384
80.54,-2.55,1085,0.0003138562,0.0,2.7069056,-0.0006921448,0.15405123,0.06012403964996338,2,512,35.512226883962285,32768
79.14,-3.12,1053,0.0004881532,0.0,2.704038,-0.0008346285,0.152616,0.12433147430419922,3,768,51.063561311981175,49152
86.65,-2.54,1050,0.0027032876,0.010681152,2.6944826,-0.0022070578,0.12836808,0.28768032789230347,4,1024,66.66776781796943,65536
78.18,-1.98,1074,0.0020453644,0.0113932295,2.6884387,-0.0030072664,0.09160314,0.424488365650177,5,1280,81.91606457199669,81920
79.35,-2.08,1087,0.0039724577,0.037841797,2.6739275,-0.00577144,0.0973148,0.5040988624095917,6,1536,96.98708690697094,98304
77.85,-1.14,1086,0.004248529,0.042114258,2.6678016,-0.006235827,0.0752761,0.6051415205001831,7,1792,112.06254465697566,114688
76.72,-0.61,1079,0.0048616333,0.049438477,2.6513126,-0.008263904,0.06743982,0.6674830913543701,8,2048,127.24495706998277,131072
76.57,-0.59,1073,0.004942357,0.053222656,2.6378796,-0.007598052,0.06744621,0.6898365318775177,9,2304,142.51467176695587,147456
76.95,-0.55,1070,0.0051513156,0.053304035,2.6388547,-0.008189737,0.056507517,0.7797494530677795,10,2560,157.81383463495877,163840
78.77,-0.64,1073,0.005298517,0.05666097,2.6195977,-0.009242734,0.05412968,0.7363747954368591,11,2816,173.076741457975,180224
74.6,-0.81,1077,0.005441451,0.067220055,2.6180098,-0.009293295,0.05886638,0.7516460418701172,12,3072,188.27951117098564,196608
71.85,-0.26,1080,0.007083773,0.096191406,2.6143532,-0.008680578,0.054436427,0.7549462467432022,13,3328,203.43899070599582,212992
79.38,0.06,1078,0.0063335057,0.08105469,2.6158242,-0.011413396,0.059737775,0.6275924146175385,14,3584,218.63734062196454,229376
75.2,-0.26,1076,0.0068618283,0.08494059,2.6111963,-0.012048729,0.053687107,0.6808930039405823,15,3840,233.8631375010009,245760
73.77,-0.24,1074,0.0080937175,0.10632324,2.587105,-0.0133775035,0.061593812,0.6688337922096252,16,4096,249.11585651600035,262144
79.32,0.56,1074,0.007802581,0.096964516,2.601293,-0.0139403045,0.05404694,0.7052526772022247,17,4352,264.36867642996367,278528
81.39,0.64,1072,0.008286712,0.111450195,2.5981243,-0.011557127,0.05914259,0.6551297307014465,18,4608,279.65136552095646,294912
79.17,0.68,1074,0.0094674835,0.13085938,2.5854228,-0.013597651,0.03996795,0.7012099921703339,19,4864,294.8988025870058,311296
80.1,0.56,1073,0.010367454,0.14361572,2.5442948,-0.014450653,0.05331576,0.7387643754482269,20,5120,310.15706228796626,327680
80.64,0.65,1074,0.011374206,0.1529541,2.5461943,-0.016013457,0.049444485,0.7508424073457718,21,5376,325.4076107799774,344064
77.31,1.21,1077,0.012763106,0.16579182,2.5229125,-0.016719213,0.04189803,0.7742727696895599,22,5632,340.61766179295955,360448
79.06,1.15,1078,0.013937027,0.17185466,2.5148017,-0.016139518,0.047245678,0.7226747274398804,23,5888,355.8138005589717,376832
77.32,1.51,1078,0.014767043,0.19085693,2.5059848,-0.015138184,0.035713833,0.7888631671667099,24,6144,370.9993641609908,393216
86.46,1.73,1075,0.016848676,0.20035808,2.4917152,-0.0142091885,0.036318775,0.8027790039777756,25,6400,386.2337981229648,409600
85.91,1.58,1076,0.01749736,0.20385742,2.4877248,-0.01638127,0.052247312,0.7451805174350739,26,6656,401.448578290001,425984
85.55,2.07,1076,0.014635839,0.18701172,2.4744923,-0.016353382,0.027624423,0.8472332805395126,27,6912,416.6698971859878,442368
85.94,1.53,1076,0.015702568,0.19755046,2.4554086,-0.016750686,0.0431558,0.7495342195034027,28,7168,431.88669213897083,458752
88.07,2.02,1076,0.016582122,0.20023601,2.4623606,-0.01472756,0.03743729,0.8190217316150665,29,7424,447.10355026699835,475136
90.7,1.96,1075,0.0154354125,0.19567871,2.4559906,-0.015823731,0.034334075,0.8302229046821594,30,7680,462.3444626129931,491520
86.31,1.61,1074,0.017169662,0.20552571,2.4327536,-0.013974252,0.04454349,0.8008878976106644,31,7936,477.59649043000536,507904
93.96,2.21,1074,0.01504865,0.19519043,2.435698,-0.01699893,0.039145213,0.8234720975160599,32,8192,492.84230013698107,524288
92.92,2.08,1074,0.016939128,0.20961507,2.4079115,-0.017558077,0.032616284,0.8626125007867813,33,8448,508.0870696079801,540672
95.85,2.65,1078,0.016448548,0.19921875,2.434873,-0.01607183,0.03825336,0.8463699817657471,34,8704,523.2849851109786,557056
95.86,2.27,1078,0.016058665,0.19691975,2.426716,-0.013034846,0.04635362,0.8600166290998459,35,8960,538.4722760439618,573440
103.25,2.54,1075,0.014644414,0.18265788,2.4432774,-0.016470978,0.04683214,0.8214326649904251,36,9216,553.7060948259896,589824
115.92,2.44,1074,0.015943075,0.19651286,2.4267342,-0.014829353,0.06279323,0.7502273619174957,37,9472,568.9578813000116,606208
112.84,3.2,1076,0.014195542,0.18699138,2.4261289,-0.01781735,0.050211716,0.8448231071233749,38,9728,584.1812791749835,622592
125.14,3.46,1069,0.012484044,0.16361491,2.4147964,-0.016598055,0.042645406,0.8783620372414589,39,9984,599.5075760830077,638976
116.29,2.78,1076,0.016201634,0.20597331,2.389469,-0.014775061,0.051666904,0.8630532920360565,40,10240,614.7239802060067,655360
124.28,3.46,1074,0.011912708,0.15557861,2.377371,-0.0131936595,0.107406646,0.7783655226230621,41,10496,629.9709573389846,671744
131.04,3.76,1075,0.015161688,0.1912028,2.3868625,-0.017323742,0.07929008,0.8070438802242279,42,10752,645.2109492839663,688128
136.85,3.27,1078,0.014275982,0.18347168,2.360346,-0.01939577,0.062327694,0.8633882850408554,43,11008,660.3984918610076,704512
